1, VC2, [(1723000, 200)], []
6539, VC3, [(1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10), (1900000, 5)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
7126, VC0, [(1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10), (1900000, 5)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8233, VC9, [(1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10), (1900000, 5)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8238, VC8, [(1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10), (1900000, 5)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8240, VC2, [(1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10), (1900000, 5)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8241, VC7, [(1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10), (1900000, 5)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8286, VC4, [(1929500, 25), (1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8291, VC7, [(1929500, 25), (1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8292, VC6, [(1929500, 25), (1915000, 1000), (1903000, 22), (1902000, 200), (1900000, 10)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8293, VC4, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8295, VC0, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8297, VC5, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
8302, VC7, [(1929500, 25), (1915000, 1000), (1910300, 52), (1903000, 22), (1902000, 200)], [(289900, 130), (290000, 863), (290000, 500), (290000, 7452), (290000, 30)]
